date,code,open,high,low,close,volume,amount,adjustflag,turn,tradestatus,pctChg,peTTM,pbMRQ,psTTM,pcfNcfTTM,isST
2009-01-16,sh.000300,1965.44,2026.647,1965.44,1990.214,9653863300,84717648664.0,3,0.023134000000000002,1,1.8077869999999998,,,,,0.0
2009-01-19,sh.000300,2010.579,2052.19,1993.95,2012.465,8194817700,69785530299.0,3,0.019637,1,1.118019,,,,,0.0
2009-01-20,sh.000300,2006.525,2025.19,1986.061,2025.19,5325926200,45640127686.0,3,0.012763,1,0.632308,,,,,0.0
2009-01-21,sh.000300,1993.67,2047.105,1988.241,2021.71,6411742800,59914192082.0,3,0.015353,1,-0.171835,,,,,0.0
2009-01-22,sh.000300,2034.286,2048.484,2012.738,2044.551,5886194700,53439127032.0,3,0.014094,1,1.129789,,,,,0.0
2009-01-23,sh.000300,2039.522,2054.326,2025.188,2032.682,5750410900,49887828217.0,3,0.013768,1,-0.58052,,,,,0.0
2009-02-02,sh.000300,2052.439,2059.338,2029.717,2057.063,5145390600,46126546742.0,3,0.012278,1,1.199449,,,,,0.0
2009-02-03,sh.000300,2056.795,2108.944,2049.889,2108.91,8764030200,75554097848.0,3,0.020912,1,2.520434,,,,,0.0
2009-02-04,sh.000300,2118.563,2166.414,2117.024,2166.414,10088842800,87192159423.0,3,0.024074,1,2.7267240000000004,,,,,0.0
2009-02-05,sh.000300,2164.546,2211.179,2135.67,2150.971,11510012200,101712444216.0,3,0.027464999999999996,1,-0.712842,,,,,0.0
2009-02-06,sh.000300,2158.084,2240.021,2158.084,2237.28,10666490400,95640063068.0,3,0.025452000000000002,1,4.012564,,,,,0.0
2009-02-09,sh.000300,2271.593,2307.907,2257.49,2296.672,12952367000,119886790885.0,3,0.030858,1,2.654656,,,,,0.0
2009-02-10,sh.000300,2288.071,2327.1,2263.532,2326.755,11629454800,107891600946.0,3,0.02769,1,1.309842,,,,,0.0
2009-02-11,sh.000300,2287.232,2381.193,2275.574,2331.138,14757663700,144588094957.0,3,0.035138,1,0.188376,,,,,0.0
2009-02-12,sh.000300,2335.401,2344.659,2248.484,2318.343,11982621800,116050219818.0,3,0.028486,1,-0.54887,,,,,0.0
2009-02-13,sh.000300,2321.56,2402.436,2307.09,2399.065,14040991000,134471079614.0,3,0.03338,1,3.4818800000000003,,,,,0.0
2009-02-16,sh.000300,2421.187,2462.389,2397.181,2462.245,15234666900,147380378887.0,3,0.036182,1,2.6335330000000003,,,,,0.0
2009-02-17,sh.000300,2460.569,2470.623,2384.787,2385.293,14101499100,137971308088.0,3,0.033491,1,-3.125284,,,,,0.0
2009-02-18,sh.000300,2331.662,2369.053,2272.505,2275.843,11542206200,112455677669.0,3,0.027412,1,-4.588533,,,,,0.0
2009-02-19,sh.000300,2295.653,2324.675,2259.593,2298.412,9085392800,88398854014.0,3,0.021568,1,0.9916799999999999,,,,,0.0
2009-02-20,sh.000300,2300.806,2344.77,2276.298,2344.32,8663206900,85247213566.0,3,0.020566,1,1.997377,,,,,0.0
2009-02-23,sh.000300,2333.809,2419.533,2307.921,2410.481,10946540300,109379770711.0,3,0.025974,1,2.822178,,,,,0.0
2009-02-24,sh.000300,2376.697,2411.906,2294.522,2301.849,12701755500,127131165758.0,3,0.030139,1,-4.506646,,,,,0.0
2009-02-25,sh.000300,2325.039,2337.423,2226.444,2304.251,10787752800,108878060725.0,3,0.025596999999999998,1,0.10434500000000001,,,,,0.0
2009-02-26,sh.000300,2295.426,2332.346,2167.149,2190.185,10220038500,101795386404.0,3,0.024243,1,-4.950238,,,,,0.0
2009-02-27,sh.000300,2164.54,2186.819,2117.061,2140.489,8707641500,80337456328.0,3,0.020655,1,-2.269034,,,,,0.0
2009-03-02,sh.000300,2123.367,2177.294,2112.336,2164.666,6274618100,60877953675.0,3,0.014649,1,1.129508,,,,,0.0
2009-03-03,sh.000300,2109.841,2168.222,2100.644,2142.154,6616731400,64109642424.0,3,0.015430000000000001,1,-1.039974,,,,,0.0
2009-03-04,sh.000300,2150.239,2290.94,2150.239,2285.149,11075003300,105872088843.0,3,0.025825999999999998,1,6.6752839999999996,,,,,0.0
2009-03-05,sh.000300,2314.079,2340.371,2259.8,2304.919,13198734700,128866644423.0,3,0.030779,1,0.865152,,,,,0.0
2009-03-06,sh.000300,2260.756,2313.2,2255.818,2286.576,8596545000,85495320495.0,3,0.020044,1,-0.795821,,,,,0.0
2009-03-09,sh.000300,2302.011,2333.98,2198.545,2202.527,8655594800,83758904259.0,3,0.020138999999999997,1,-3.675751,,,,,0.0
2009-03-10,sh.000300,2175.306,2241.238,2168.324,2240.782,5666044900,55058099404.0,3,0.013183000000000002,1,1.736863,,,,,0.0
2009-03-11,sh.000300,2288.053,2292.396,2212.882,2220.38,7083867600,70589122656.0,3,0.016482,1,-0.9104899999999999,,,,,0.0
